Service Point,zipCode,rate,buildingType,meterCount,squareFt
-1215,78727,E-RES,MULTIFAMILY,6135,7533739.0
-1214,78727,E-RES,DUPLEX,290,289163.0
-1213,78727,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",20,44866.83203125
-1212,78726,E-RES,SINGLE FAMILY,85,111095.3359375
-1211,78725,E-SEC1,SINGLE FAMILY,31,19676.0
-1210,78725,E-RES,SINGLE FAMILY,2825,3312530.25
-1209,78725,E-RES,MOHO DOUBLE REAL,26,33484.80078125
-1208,78724,E-SEC2,WAREHOUSE <20000,40,211701.328125
-1207,78724,E-SEC1,WAREHOUSE <20000,56,177955.828125
-1206,78724,E-RES,WAREHOUSE <20000,108,13112.0
-1205,78724,E-SEC2,SINGLE FAMILY,20,923.3333129882812
-1204,78724,E-SEC1,SINGLE FAMILY,22,27892.0
-1203,78724,E-RES,SINGLE FAMILY,3810,4977230.5
-1202,78724,E-RES,MOHO SINGLE REAL,203,175431.0
-1201,78724,E-RES,MOHO SINGLE PP,616,458717.96875
-1200,78724,E-RES,MOHO DOUBLE REAL,266,335081.5
-1199,78724,E-RES,MOHO DOUBLE PP,356,494775.1875
-1198,78724,E-RES,FOURPLEX,158,150763.296875
-1197,78724,E-RES,DUPLEX,350,362039.65625
-1196,78724,E-RES,"1 FAM DWELLING, MOHO SINGLE REAL",20,22370.572265625
-1195,78724,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",17,28288.0
-1194,78723,E-SEC1,TOWNHOMES,30,49902.16796875
-1193,78723,E-RES,TOWNHOMES,937,1152567.875
-1192,78723,E-SEC1,SINGLE FAMILY,20,31315.71484375
-1191,78723,E-RES,SINGLE FAMILY,6524,9419319.0
-1190,78723,E-SEC2,OFFICE (SMALL),18,57739.40625
-1189,78723,E-SEC1,OFFICE (SMALL),33,44920.453125
-1188,78723,E-SEC2,MULTIFAMILY,50,792487.9375
-1187,78723,E-SEC1,MULTIFAMILY,236,3335933.5
-1186,78723,E-RES,MULTIFAMILY,5330,5598501.5
-1185,78723,E-RES,FOURPLEX,241,209257.703125
-1184,78723,E-RES,DUPLEX,684,646742.5
-1183,78723,E-SEC2,CONVENIENCE STOR,15,27144.333984375
-1182,78723,E-RES,CONDO (STACKED),77,54387.0
-1181,78723,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",20,29964.166015625
-1180,78723,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",69,112620.1640625
-1179,78722,E-SEC2,WAREHOUSE <20000,19,80057.0
-1178,78722,E-RES,TOWNHOMES,32,49835.5
-1177,78722,E-SEC1,SINGLE FAMILY,8,10475.5
-1176,78722,E-RES,SINGLE FAMILY,1739,2248807.75
-1175,78722,E-SEC1,MULTIFAMILY,27,254597.515625
-1174,78722,E-RES,MULTIFAMILY,739,452358.78125
-1173,78722,E-RES,DUPLEX,312,312876.84375
-1172,78722,E-RES,CONDO (STACKED),71,51290.0
-1171,78722,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",36,35555.0
-1170,78722,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",75,101921.9140625
-1169,78721,E-RES,TOWNHOMES,92,133340.0
-1168,78721,E-SEC1,SINGLE FAMILY,8,4156.0
-1167,78721,E-RES,SINGLE FAMILY,2630,2866229.5
-1166,78721,E-SEC2,OFFICE (SMALL),34,202992.890625
-1165,78721,E-SEC1,OFFICE (SMALL),51,206967.640625
-1164,78721,E-RES,MOHO DOUBLE REAL,28,27233.71484375
-1163,78721,E-RES,DUPLEX,428,423800.1875
-1162,78721,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",46,51466.0
-1161,78717,E-RES,SINGLE FAMILY,181,443413.84375
-1160,78717,E-RES,CONDOS,184,62423.25
-1159,78717,E-SEC2,COMMERCIAL IMPROVED,36,552004.0
-1158,78717,E-SEC1,COMMERCIAL IMPROVED,19,271554.5
-1157,78705,E-RES,TRIPLEX,49,53789.3984375
-1156,78705,E-SEC1,TOWNHOMES,8,9125.0
-1155,78705,E-RES,TOWNHOMES,79,105022.6640625
-1154,78705,E-SEC2,STRIP CTR <10000,51,70230.609375
-1153,78705,E-SEC1,STRIP CTR <10000,47,60376.3203125
-1152,78705,E-RES,STRIP CTR <10000,18,8000.0
-1151,78705,E-SEC2,SM STORE <10K SF,22,60625.16796875
-1150,78705,E-SEC1,SM STORE <10K SF,15,37264.33203125
-1149,78705,E-RES,SINGLE FAMILY,841,1433500.0
-1148,78705,E-SEC2,RESTAURANT,17,32132.333984375
-1147,78705,E-SEC2,OFFICE (SMALL),29,120239.3984375
-1146,78705,E-SEC1,OFFICE (SMALL),22,42153.56640625
-1145,78705,E-SEC2,OFF/RETAIL (SFR),23,53528.33203125
-1144,78705,E-SEC1,OFF/RETAIL (SFR),20,29558.666015625
-1143,78705,E-SEC2,MULTIFAMILY,116,3270893.25
-1142,78705,E-SEC1,MULTIFAMILY,191,2494252.75
-1141,78705,E-RES,MULTIFAMILY,6274,6695160.0
-1140,78705,E-SEC2,MEDICAL OFF <10K,15,40723.56640625
-1139,78705,E-SEC1,MEDICAL OFF <10K,21,48518.80078125
-1138,78705,E-SEC2,FRAT/SORORITY,33,288234.28125
-1137,78705,E-RES,FRAT/SORORITY,21,65425.47265625
-1136,78705,E-RES,FOURPLEX,95,80415.78125
-1135,78705,E-RES,DUPLEX,518,704208.4375
-1134,78705,E-SEC1,CONDO (STACKED),8,3824.833251953125
-1133,78705,E-RES,CONDO (STACKED),1795,1366131.875
-1132,78705,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",147,203777.671875
-1131,78705,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",77,141007.796875
-1130,78704,E-SEC2,WAREHOUSE <20000,52,317197.1875
-1129,78704,E-SEC1,WAREHOUSE <20000,47,137672.046875
-1128,78704,E-RES,TRIPLEX,41,36310.33203125
-1127,78704,E-RES,TOWNHOMES,964,1473597.75
-1126,78704,E-SEC2,SVC/REPAIR GAR'G,21,108688.6640625
-1125,78704,E-SEC1,SVC/REPAIR GAR'G,21,38538.33203125
-1124,78704,E-SEC2,STRIP CTR <10000,72,101047.125
-1123,78704,E-SEC1,STRIP CTR <10000,85,102807.1328125
-1122,78704,E-SEC2,SM STORE <10K SF,51,144911.671875
-1121,78704,E-SEC1,SM STORE <10K SF,32,38805.25
-1120,78704,E-SEC1,SINGLE FAMILY,52,70286.5
-1119,78704,E-RES,SINGLE FAMILY,6481,9706788.0
-1118,78704,E-SEC2,RESTAURANT,42,110800.203125
-1117,78704,E-SEC2,OFFICE MED 10-35,26,268333.3125
-1116,78704,E-SEC1,OFFICE MED 10-35,47,139057.0
-1115,78704,E-SEC2,OFFICE LG >35000,23,422697.78125
-1114,78704,E-SEC1,OFFICE LG >35000,23,246615.5
-1113,78704,E-SEC2,OFFICE (SMALL),61,168950.859375
-1112,78704,E-SEC1,OFFICE (SMALL),76,107067.0
-1111,78704,E-RES,OFFICE (SMALL),22,10392.904296875
-1110,78704,E-SEC2,OFF/RETAIL (SFR),25,31851.833984375
-1109,78704,E-SEC1,OFF/RETAIL (SFR),53,72732.8359375
-1108,78704,E-RES,OFF/RETAIL (SFR),34,46562.5
-1107,78704,E-SEC2,MULTIFAMILY,165,3018248.25
-1106,78704,E-SEC1,MULTIFAMILY,547,6151098.5
-1105,78704,E-RES,MULTIFAMILY,11932,12694129.0
-1104,78704,E-RES,MOHO SINGLE PP,63,60042.0
-1103,78704,E-SEC1,FOURPLEX,31,82623.5
-1102,78704,E-RES,FOURPLEX,624,489037.28125
-1101,78704,E-SEC2,FAST FOOD REST,19,30548.166015625
-1100,78704,E-SEC1,DUPLEX,13,27342.333984375
-1099,78704,E-RES,DUPLEX,1841,1914367.375
-1098,78704,E-SEC2,CONVENIENCE STOR,20,36161.33203125
-1097,78704,E-RES,CONDO (STACKED),1682,1440744.5
-1096,78704,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",179,261301.828125
-1095,78704,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",288,500326.25
-1094,78703,E-RES,TRIPLEX,57,62118.66796875
-1093,78703,E-SEC1,TOWNHOMES,17,29128.5
-1092,78703,E-RES,TOWNHOMES,400,753877.875
-1091,78703,E-SEC1,SINGLE FAMILY,43,109666.3828125
-1090,78703,E-RES,SINGLE FAMILY,4322,10244932.0
-1089,78703,E-SEC2,OFFICE (SMALL),23,63491.90234375
-1088,78703,E-SEC1,OFFICE (SMALL),30,37888.90234375
-1087,78703,E-SEC2,OFF/RETAIL (SFR),57,103486.328125
-1086,78703,E-SEC1,OFF/RETAIL (SFR),125,156934.0625
-1085,78703,E-SEC2,MULTIFAMILY,26,448882.90625
-1084,78703,E-SEC1,MULTIFAMILY,82,903830.0625
-1083,78703,E-RES,MULTIFAMILY,2064,1992603.25
-1082,78703,E-RES,FOURPLEX,115,94922.8828125
-1081,78703,E-RES,DUPLEX,596,726871.25
-1080,78703,E-RES,CONDO (STACKED),487,430486.0
-1079,78703,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",290,677955.3125
-1078,78703,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",306,740941.75
-1077,78702,E-SEC2,WAREHOUSE <20000,77,387227.6875
-1076,78702,E-SEC1,WAREHOUSE <20000,56,188098.859375
-1075,78702,E-RES,WAREHOUSE <20000,56,70190.84375
-1074,78702,E-RES,TOWNHOMES,258,358400.84375
-1073,78702,E-SEC2,SVC/REPAIR GAR'G,15,65446.66796875
-1072,78702,E-SEC1,SVC/REPAIR GAR'G,27,71116.8359375
-1071,78702,E-SEC2,STRIP CTR <10000,19,37102.6015625
-1070,78702,E-SEC1,STRIP CTR <10000,43,52264.56640625
-1069,78702,E-SEC2,SM STORE <10K SF,37,87135.0
-1068,78702,E-SEC1,SM STORE <10K SF,33,26416.875
-1067,78702,E-SEC1,SINGLE FAMILY,56,60682.33203125
-1066,78702,E-RES,SINGLE FAMILY,5105,5530094.0
-1065,78702,E-SEC2,RESTAURANT,32,64669.75
-1064,78702,E-SEC2,OFFICE MED 10-35,36,290070.0625
-1063,78702,E-SEC1,OFFICE MED 10-35,12,71136.703125
-1062,78702,E-RES,OFFICE MED 10-35,82,30356.02734375
-1061,78702,E-SEC2,OFFICE LG >35000,16,430862.03125
-1060,78702,E-SEC1,OFFICE LG >35000,18,457106.75
-1059,78702,E-SEC2,OFFICE (SMALL),42,104500.1640625
-1058,78702,E-SEC1,OFFICE (SMALL),47,77817.4140625
-1057,78702,E-SEC2,OFF/RETAIL (SFR),24,37142.0
-1056,78702,E-SEC1,OFF/RETAIL (SFR),59,65201.33203125
-1055,78702,E-RES,OFF/RETAIL (SFR),35,35803.0
-1054,78702,E-SEC2,NIGHT CLUB/BAR,22,28863.333984375
-1053,78702,E-SEC2,MULTIFAMILY,75,1322222.25
-1052,78702,E-SEC1,MULTIFAMILY,187,1842800.75
-1051,78702,E-RES,MULTIFAMILY,3838,4366186.5
-1050,78702,E-RES,MOHO DOUBLE REAL,15,20250.0
-1049,78702,E-SANC2,HOUSE OF WORSHIP,32,138241.5
-1048,78702,E-RES,DUPLEX,354,394840.15625
-1047,78702,E-SEC2,CONVENIENCE STOR,19,23789.18359375
-1046,78702,E-RES,CONDO (STACKED),392,335540.5
-1045,78702,E-SEC1,COMMERCIAL SPACE CONDOS,37,28463.0
-1044,78702,E-RES,"1 FAM DWELLING, GARAGE APARTMENT",179,212522.140625
-1043,78702,E-RES,"1 FAM DWELLING, ACCESSORY DWELLING UNIT",212,242322.40625
-1042,78701,E-RES,TOWNHOMES,33,39616.0
-1041,78701,E-SEC2,SM STORE <10K SF,45,116011.1640625
-1040,78701,E-SEC1,SM STORE <10K SF,19,25180.0
-1039,78701,E-SEC2,SINGLE FAMILY,13,34736.0
-1038,78701,E-SEC1,SINGLE FAMILY,19,15460.3330078125
-1037,78701,E-RES,SINGLE FAMILY,78,188048.671875
-1036,78701,E-SEC2,RESTAURANT,67,286453.75
